,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
103,port elizabeth,75,US,1573225400,48,39.31,-74.98,5.56,5.7
104,tiksi,100,RU,1573225400,92,71.64,128.87,-25.05,3.54
105,ponta do sol,48,BR,1573225401,57,-20.63,-46.0,28.89,4.28
106,nago,75,IT,1573225401,87,45.88,10.89,12.0,1.5
107,gamboma,94,CG,1573225401,67,-1.87,15.88,30.2,0.09
108,constitucion,90,MX,1573225401,77,23.99,-104.67,16.0,3.1
109,bocas del toro,100,PA,1573225401,66,9.33,-82.25,22.22,2.24
110,oda,84,JP,1573225402,84,35.19,132.5,10.14,1.76
111,kurilsk,84,RU,1573225402,77,45.23,147.88,1.74,6.22
112,cidreira,0,BR,1573225402,82,-30.17,-50.22,21.36,3.78
113,anadyr,0,RU,1573225402,84,64.73,177.51,-13.0,3.0
114,nome,90,US,1573225403,81,30.04,-94.42,12.0,6.7
115,paka,57,CF,1573225403,59,4.15,15.03,28.38,1.75
116,lamu,69,CN,1573225403,79,35.77,102.37,1.64,3.01
117,kavieng,100,PG,1573225403,76,-2.57,150.8,28.76,5.79
118,aklavik,90,CA,1573225404,72,68.22,-135.01,-12.0,1.5
119,samarai,90,PG,1573225404,94,-10.62,150.67,24.81,1.1
120,mahebourg,40,MU,1573225404,64,-20.41,57.7,24.0,3.1
121,codrington,90,AU,1573225404,13,-28.95,153.24,28.0,4.6
122,mount isa,0,AU,1573225404,14,-20.73,139.49,28.0,7.2
123,upernavik,0,GL,1573225405,64,72.79,-56.15,-14.67,3.53
124,namtsy,0,RU,1573225405,74,62.72,129.66,-30.0,1.0
125,norman wells,90,CA,1573225405,78,65.28,-126.83,-11.0,4.1
126,victor harbor,40,AU,1573225405,62,-35.55,138.62,12.22,3.1
127,dhidhdhoo,100,MV,1573225406,75,6.88,73.1,28.04,3.81
128,buturlino,100,RU,1573225406,79,55.57,44.9,-0.27,3.0
129,katangli,0,RU,1573225406,78,51.71,143.23,-8.64,4.27
130,suleja,20,NG,1573225406,30,9.18,7.18,34.0,4.1
131,thompson,90,CA,1573225406,84,55.74,-97.86,-14.0,1.8
132,chikmagalur,100,IN,1573225407,86,13.32,75.78,21.73,1.6
133,vanderhoof,100,CA,1573225213,90,54.02,-124.02,3.92,1.63
134,bhinmal,9,IN,1573225407,42,25.01,72.27,25.08,4.57
135,shambu,97,ET,1573225407,92,9.57,37.1,15.51,1.0
136,sabang,90,PH,1573225408,85,13.8,121.11,27.78,1.34
137,grand-santi,24,GF,1573225408,41,4.27,-54.38,34.43,1.51
138,ambilobe,91,MG,1573225408,61,-13.19,49.05,28.4,4.53
139,carnarvon,67,ZA,1573225409,6,-30.97,22.13,26.62,3.09
140,portland,40,US,1573225381,43,43.66,-70.25,1.67,7.2
141,shakawe,53,BW,1573225409,15,-18.36,21.84,37.09,1.3
142,pevek,0,RU,1573225409,65,69.7,170.27,-8.86,5.4
143,khuldabad,0,IN,1573225410,65,20.05,75.18,23.69,1.25
144,jizan,20,SA,1573225209,62,16.89,42.56,32.0,3.6
145,moussoro,0,TD,1573225410,9,13.64,16.49,37.15,3.74
146,burgeo,100,CA,1573225410,95,47.61,-57.61,8.78,12.31
147,meulaboh,96,ID,1573225410,73,4.14,96.13,28.03,2.61
148,filingue,0,NE,1573225411,8,14.35,3.32,37.54,4.33
149,iskateley,99,RU,1573225411,95,67.68,53.15,-10.33,4.91
150,kaeo,82,NZ,1573225411,100,-35.1,173.78,17.78,6.28
151,wagar,100,US,1573225411,88,31.44,-87.99,11.67,0.89
152,katsuura,20,JP,1573225411,81,33.93,134.5,11.0,2.6
153,sosnovo,99,RU,1573225412,81,60.56,30.25,0.0,1.42
154,lorengau,89,PG,1573225412,78,-2.02,147.27,28.47,3.59
155,nueve de julio,0,AR,1573225412,22,-31.67,-68.39,28.56,3.1
156,hondo,90,US,1573225412,87,29.35,-99.14,8.33,5.7
157,rypefjord,75,NO,1573225413,100,70.63,23.67,-3.0,5.1
158,niles,90,US,1573225413,74,41.83,-86.25,0.0,2.1
159,general roca,100,AR,1573225413,15,-39.03,-67.58,20.0,4.1
160,grand gaube,40,MU,1573225413,64,-20.01,57.66,24.0,3.1
161,fortuna,90,US,1573225305,100,40.6,-124.16,8.33,3.1
162,teocaltiche,40,MX,1573225414,87,21.43,-102.58,13.0,3.6
163,inuvik,90,CA,1573225414,71,68.36,-133.71,-12.0,4.1
164,port alfred,32,ZA,1573225414,67,-33.59,26.89,19.44,0.89
165,cam ranh,40,VN,1573225414,65,11.92,109.15,27.0,3.6
166,camalu,0,MX,1573225415,45,30.85,-116.07,17.76,0.51
167,ures,88,MX,1573225415,64,30.73,-112.95,15.56,0.45
168,nouadhibou,100,MR,1573225415,64,20.93,-17.03,23.0,5.1
169,puerto ayora,75,EC,1573225415,73,-0.74,-90.35,24.0,5.1
170,lufkin,75,US,1573225415,81,31.34,-94.73,8.33,4.6
171,san antero,40,CO,1573225416,79,9.38,-75.76,30.0,3.1
172,ribas do rio pardo,98,BR,1573225416,38,-20.45,-53.76,33.62,1.89
173,ruteng,0,ID,1573225416,84,-8.61,120.46,18.96,2.44
174,ayan,0,IR,1573225417,41,38.23,44.7,4.3,0.39
175,qaqortoq,75,GL,1573225417,36,60.72,-46.03,7.0,9.3
176,mar del plata,0,AR,1573225192,37,-46.43,-67.52,11.96,6.56
177,homer,90,US,1573225417,100,59.64,-151.54,7.78,1.5
178,chapada dos guimaraes,75,BR,1573225417,69,-15.46,-55.75,28.0,2.6
179,cape canaveral,20,US,1573225260,69,28.41,-80.6,28.0,3.1
180,boa vista,40,BR,1573225209,55,2.82,-60.67,32.0,4.6
181,pauini,93,BR,1573225418,72,-7.71,-67.0,29.84,1.31
182,saskylakh,0,RU,1573225419,97,71.97,114.09,-31.62,3.7
183,victoria,75,BN,1573225419,83,5.28,115.24,27.0,1.5
184,dvinskoy,91,RU,1573225419,95,62.16,45.12,-12.58,2.16
185,hay river,90,CA,1573225419,85,60.82,-115.79,-7.0,5.1
186,aykhal,90,RU,1573225420,83,65.95,111.51,-20.0,5.0
187,severo-kurilsk,84,RU,1573225420,79,50.68,156.12,-1.23,8.3
188,sioux lookout,75,CA,1573225420,78,50.1,-91.92,-10.0,4.1
189,arraial do cabo,75,BR,1573225420,78,-22.97,-42.02,29.0,6.7
190,filadelfia,100,PY,1573225420,47,-22.35,-60.04,32.96,2.88
191,zaraza,8,VE,1573225421,78,9.35,-65.33,28.42,2.34
192,teya,40,MX,1573225421,88,21.05,-89.07,31.11,1.78
193,bontang,1,ID,1573225421,88,0.12,117.47,26.15,3.4
194,morehead,1,US,1573225421,63,38.18,-83.43,-2.0,2.6
195,itoman,75,JP,1573225422,68,26.12,127.67,22.0,9.3
196,kamenka,10,MD,1573225422,85,48.03,28.7,9.44,0.45
197,marawi,100,PH,1573225422,90,8.0,124.29,24.44,0.45
198,namatanai,57,PG,1573225422,76,-3.66,152.44,28.61,4.57
199,namibe,80,AO,1573225423,86,-15.19,12.15,23.24,6.1
200,ushtobe,24,KZ,1573225423,59,45.25,77.98,4.48,1.54
201,acapulco,5,MX,1573225371,83,16.86,-99.88,26.0,0.72
202,nishihara,75,JP,1573225423,62,35.74,139.53,16.11,7.2
203,farafangana,6,MG,1573225423,82,-22.82,47.83,25.23,10.68
204,benjamin hill,100,MX,1573225424,55,30.17,-111.1,18.89,2.24
205,karaton,20,ID,1573225424,54,-6.34,106.1,27.0,2.6
206,airai,14,TL,1573225424,74,-8.93,125.41,19.41,1.22
207,hasaki,75,JP,1573225424,71,35.73,140.83,12.22,2.6
208,flinders,76,AU,1573225424,87,-34.58,150.85,14.44,2.1
209,antsohihy,100,MG,1573225425,65,-14.88,47.99,28.13,2.67
210,cap malheureux,40,MU,1573225425,64,-19.98,57.61,24.0,3.1
211,turukhansk,99,RU,1573225425,95,65.8,87.96,-22.46,3.61
212,kawhia,95,NZ,1573225425,90,-38.07,174.82,16.67,1.44
213,college,1,US,1573225424,78,64.86,-147.8,-8.33,3.1
214,kambove,38,CD,1573225426,42,-10.88,26.6,28.69,1.69
215,nanortalik,69,GL,1573225426,72,60.14,-45.24,2.25,1.78
216,mahbubnagar,60,IN,1573225426,79,16.74,77.99,24.61,3.6
217,tura,100,RU,1573225427,90,64.27,100.22,-11.27,0.71
218,vila velha,20,BR,1573225427,49,-3.71,-38.6,32.0,9.8
219,sarahan,42,IN,1573225427,78,31.51,77.79,-1.59,2.75
220,myitkyina,0,MM,1573225427,71,25.38,97.4,20.32,1.12
221,miranda de ebro,90,ES,1573225428,93,42.69,-2.95,11.0,5.7
222,mumbwa,76,ZM,1573225428,24,-14.99,27.06,31.4,1.8
223,port lincoln,82,AU,1573225428,62,-34.72,135.86,11.58,4.56
224,linxia,99,CN,1573225428,68,35.6,103.21,5.91,1.84
225,belaya gora,99,RU,1573225429,97,68.54,146.19,-21.6,1.01
226,gravdal,20,NO,1573225429,59,59.79,5.78,3.33,1.0
227,veraval,0,FR,1573225429,76,49.65,0.71,9.0,2.1
228,saint-pierre,40,FR,1573225429,71,48.95,4.24,11.11,2.6
229,mizan teferi,98,ET,1573225430,87,6.99,35.58,19.56,0.55
230,iqaluit,75,CA,1573225430,85,63.75,-68.52,-12.0,2.6
231,kaitangata,100,NZ,1573225430,90,-46.28,169.85,10.56,0.89
232,areosa,20,PT,1573225430,67,41.72,-8.86,15.0,2.6
233,saint george,40,GR,1573225431,64,39.45,22.34,20.0,3.36
234,touros,75,BR,1573225431,52,-5.2,-35.46,31.0,7.7
235,vilyuysk,60,RU,1573225431,88,63.75,121.63,-21.25,3.37
236,lompoc,90,US,1573225221,100,34.64,-120.46,11.67,3.17
237,saint-georges,98,CA,1573225167,23,46.12,-70.67,-4.44,1.79
238,marsa matruh,0,EG,1573225432,69,31.35,27.25,24.0,2.1
239,chuy,0,UY,1573225432,70,-33.69,-53.46,21.14,4.5
240,camocim,89,BR,1573225432,28,-2.9,-40.84,37.61,3.53
241,pisco,90,PE,1573225432,30,-13.71,-76.2,22.0,2.1
242,nikolskoye,90,RU,1573225433,98,59.7,30.79,0.0,2.0
243,palmer,40,AU,1573225433,62,-34.85,139.16,12.22,3.1
244,yalova,0,TR,1573225325,40,40.66,29.27,23.0,1.5
245,havelock,90,US,1573225433,62,34.88,-76.9,11.0,8.2
246,itarema,40,BR,1573225434,35,-2.92,-39.92,35.87,6.36
247,stari bohorodchany,75,UA,1573225434,93,48.84,24.53,10.0,5.0
248,batemans bay,31,AU,1573225434,73,-35.71,150.18,9.44,1.34
249,khorinsk,99,RU,1573225435,80,52.16,109.78,-2.15,0.95
250,barzas,90,RU,1573225435,98,55.72,86.32,0.0,5.0
251,inhambane,20,MZ,1573225435,62,-23.87,35.38,31.0,2.1
252,bambous virieux,40,MU,1573225435,64,-20.34,57.76,24.0,3.1
253,orocue,32,CO,1573225435,64,4.79,-71.34,30.1,4.49
254,beyneu,7,KZ,1573225436,48,45.32,55.19,9.32,3.7
255,tashtyp,97,RU,1573225436,71,52.8,89.89,2.41,5.38
256,bralostita,100,RO,1573225436,77,44.5,23.52,18.33,4.1
257,goderich,36,CA,1573225437,87,43.74,-81.71,-1.67,2.12
258,nouakchott,20,MR,1573225418,42,18.08,-15.98,28.0,6.7
259,lavrentiya,0,RU,1573225437,71,65.58,-170.99,-1.38,13.34
260,ust-kuyga,88,RU,1573225437,97,70.0,135.55,-21.41,2.15
261,batagay-alyta,97,RU,1573225438,99,67.8,130.41,-21.85,0.82
262,silver city,1,US,1573225438,100,32.77,-108.28,7.78,3.1
263,haines junction,95,CA,1573225438,97,60.75,-137.51,-4.74,2.85
264,ilulissat,75,GL,1573225438,34,69.22,-51.1,3.0,8.7
265,maceio,75,BR,1573225277,58,-9.67,-35.74,30.0,6.7
266,itaituba,75,BR,1573225439,94,-4.26,-55.99,25.0,2.1
267,bethel,90,US,1573225227,92,60.79,-161.76,1.0,4.1
268,mabaruma,68,GY,1573225439,89,8.2,-59.78,28.31,1.42
269,veracruz,75,EC,1573225440,50,-3.97,-79.57,26.0,7.2
270,krasnyy chikoy,100,RU,1573225440,82,50.36,108.75,-1.3,1.05
271,vao,100,EE,1573225440,97,59.1,26.19,2.74,1.95
272,timmins,90,CA,1573225441,84,48.48,-81.33,-14.0,1.0
273,dom pedrito,0,BR,1573225441,53,-30.98,-54.67,25.57,3.74
274,ixtapa,75,MX,1573225441,88,20.71,-105.21,27.22,1.6
275,butaritari,32,KI,1573225442,66,3.07,172.79,29.01,3.71
276,usinsk,73,RU,1573225442,99,66.0,57.56,-17.03,3.25
277,nizwa,70,OM,1573225442,35,22.93,57.53,24.66,0.93
278,mayya,80,RU,1573225443,74,61.74,130.28,-30.0,1.0
279,salalah,20,OM,1573225443,74,17.01,54.1,28.0,3.1
280,marechal floriano,20,BR,1573225443,52,-20.41,-40.67,32.0,5.1
281,qeshm,0,IR,1573225444,61,26.96,56.27,28.0,2.1
282,misratah,48,LY,1573225444,42,32.38,15.09,22.98,4.01
283,jumla,0,NP,1573225444,79,29.28,82.18,4.23,2.37
284,barcelos,7,BR,1573225445,35,-0.97,-62.93,37.69,0.95
285,lethem,17,GY,1573225445,45,3.38,-59.8,33.65,4.43
286,port shepstone,89,ZA,1573225445,74,-30.74,30.45,19.02,4.77
287,kungsbacka,75,SE,1573225177,93,57.49,12.08,7.22,4.6
288,sisimiut,100,GL,1573225446,52,66.94,-53.67,-1.23,5.02
289,vardo,90,US,1573225446,51,39.62,-77.74,3.33,5.1
290,harer,1,US,1573225447,92,42.19,-111.17,0.0,0.69
291,zhigansk,56,RU,1573225447,96,66.77,123.37,-29.65,4.31
292,elizabeth city,1,US,1573225447,45,36.3,-76.22,9.44,7.2
293,finschhafen,98,PG,1573225447,72,-6.6,147.85,27.91,2.8
294,yenagoa,73,NG,1573225447,77,4.92,6.26,29.53,1.86
295,lincoln,40,GB,1573225369,81,53.23,-0.54,9.0,6.7
296,gobabis,70,NA,1573225448,20,-22.45,18.97,30.78,2.91
297,morondava,97,MG,1573225448,64,-20.3,44.28,26.82,2.36
298,dickinson,1,US,1573225448,73,46.88,-102.79,-2.78,3.6
299,beringovskiy,78,RU,1573225449,92,63.05,179.32,-4.49,7.53
300,udachnyy,90,RU,1573225449,83,66.42,112.4,-20.0,5.0
301,asosa,100,ET,1573225343,88,10.07,34.53,21.05,1.77
302,north branch,75,US,1573225449,67,45.51,-92.98,-5.0,4.1
303,abbeville,90,FR,1573225450,100,50.11,1.83,8.0,1.5
304,fergus falls,1,US,1573225450,79,46.28,-96.08,-5.0,4.1
305,ancud,0,CL,1573225450,57,-41.87,-73.83,11.0,4.6
306,akureyri,100,IS,1573225450,86,65.68,-18.09,-3.0,4.6
307,santiago del estero,0,AR,1573225451,39,-27.8,-64.26,30.28,5.15
308,labuhan,10,ID,1573225451,93,-2.54,115.51,23.25,0.87
309,tasiilaq,75,GL,1573225451,55,65.61,-37.64,3.0,18.0
310,kampong cham,85,KH,1573225451,89,11.99,105.46,23.19,2.94
311,tevaitoa,98,PF,1573225451,78,-16.78,-151.5,27.05,8.94
312,oliveira dos brejinhos,0,BR,1573225452,21,-12.32,-42.89,39.1,0.92
313,galveston,1,US,1573225452,79,40.58,-86.19,-2.22,2.53
314,sabana grande de boya,20,DO,1573225452,83,18.95,-69.79,29.44,2.21
315,goroka,97,PG,1573225452,95,-6.07,145.39,14.26,1.33
316,geraldton,90,CA,1573225453,78,49.72,-86.95,-11.0,2.1
317,tambun,20,ID,1573225453,54,-6.26,107.07,27.22,2.6
318,baghdad,0,IQ,1573225258,31,33.3,44.38,25.0,2.6
319,jingdezhen,0,CN,1573225453,70,29.29,117.2,11.78,2.07
320,paamiut,90,GL,1573225454,52,61.99,-49.67,5.54,4.0
321,poum,75,MK,1573225454,82,41.28,20.71,13.0,3.1
322,belyye berega,40,RU,1573225454,93,53.21,34.66,6.0,1.0
323,bowen,0,AU,1573225454,88,-20.01,148.25,21.67,3.1
324,severomorsk,40,RU,1573225455,77,69.07,33.42,-15.0,0.36
325,kavaratti,67,IN,1573225455,70,10.57,72.64,28.14,3.73
326,gadsden,1,US,1573225455,70,34.01,-86.01,7.22,4.6
327,tuatapere,100,NZ,1573225455,78,-46.13,167.69,13.33,0.84
328,high level,90,CA,1573225455,85,58.52,-117.13,-8.0,5.1
329,verkh-usugli,2,RU,1573225456,89,52.7,115.17,-5.61,1.21
330,huarmey,96,PE,1573225456,49,-10.07,-78.15,24.73,3.44
331,sao geraldo do araguaia,2,BR,1573225456,32,-6.4,-48.55,37.98,2.08
332,ribeira grande,40,PT,1573225456,72,38.52,-28.7,20.0,3.6
333,brownwood,90,US,1573225457,73,31.71,-98.99,4.0,4.6
334,skjervoy,75,NO,1573225457,100,70.03,20.97,-5.0,0.5
335,saldanha,0,PT,1573225457,50,41.42,-6.55,10.48,7.37
336,torbay,90,CA,1573225457,81,47.66,-52.73,9.0,6.7
337,los llanos de aridane,75,ES,1573225457,88,28.66,-17.92,21.0,6.2
338,pascagoula,90,US,1573225458,93,30.37,-88.56,14.0,6.7
339,virtsu,75,EE,1573225458,93,58.57,23.51,7.78,3.6
340,hobyo,11,SO,1573225458,72,5.35,48.53,27.61,4.49
341,manga,0,PK,1573225458,68,31.31,74.05,20.0,1.5
342,senador jose porfirio,29,BR,1573225459,48,-2.59,-51.95,33.81,0.72
343,carballo,40,ES,1573225459,66,43.21,-8.69,14.44,4.6
344,batagay,94,RU,1573225459,96,67.65,134.64,-21.1,1.15
345,plastun,23,RU,1573225460,65,44.76,136.29,-6.29,2.09
346,lagoa,20,PT,1573225460,34,37.14,-8.45,18.89,6.7
347,soyo,57,AO,1573225460,70,-6.13,12.37,29.77,3.82
348,yablonovo,75,RU,1573225460,87,50.85,37.36,9.0,3.0
349,kingseat,20,GB,1573225460,75,56.1,-3.41,7.0,2.1
350,trzebiatow,82,PL,1573225461,87,54.06,15.26,10.0,2.1
351,cao bang,29,VN,1573225461,75,22.67,106.25,15.35,1.14
352,kyaukse,90,MM,1573225461,88,21.6,96.13,25.0,1.5
353,chipoka,0,MW,1573225461,52,-13.99,34.52,29.68,1.84
354,gunnedah,90,AU,1573225462,45,-30.98,150.25,17.0,6.2
355,nhulunbuy,44,AU,1573225462,83,-12.18,136.78,26.0,2.6
356,manaus,40,BR,1573225462,66,-3.13,-59.98,31.0,2.6
357,mitzic,100,GA,1573225462,91,0.78,11.55,25.88,2.05
358,dingle,0,PH,1573225463,87,11.0,122.67,23.37,1.21
359,yar-sale,0,RU,1573225463,96,66.83,70.83,-19.99,5.05
360,manzanillo,40,MX,1573225280,88,19.05,-104.32,26.0,5.1
361,tari,97,NG,1573225463,12,12.41,4.49,37.05,2.78
362,mount gambier,75,AU,1573225463,81,-37.83,140.78,8.0,4.6
363,buluang,40,PH,1573225464,83,10.47,123.98,26.0,1.8
364,araouane,0,ML,1573225464,11,18.9,-3.53,34.77,1.73
365,suriapet,62,IN,1573225464,77,17.15,79.62,24.22,2.74
366,hambantota,75,LK,1573225464,100,6.12,81.12,27.0,2.1
367,lasa,20,CY,1573225464,69,34.92,32.53,26.0,1.0
368,aksu,90,KZ,1573225465,80,52.04,76.93,4.0,9.0
369,kruisfontein,99,ZA,1573225465,68,-34.0,24.73,17.38,5.86
370,muravlenko,98,RU,1573225465,97,63.79,74.5,-21.72,7.61
371,evensk,90,RU,1573225465,69,61.92,159.24,-5.77,5.57
372,ikot ekpene,97,NG,1573225466,73,5.18,7.71,29.37,2.04
373,mingoyo,75,TZ,1573225466,74,-10.1,39.64,28.0,5.1
374,muros,40,ES,1573225466,71,42.77,-9.06,15.0,4.1
375,ust-maya,99,RU,1573225466,95,60.42,134.54,-25.17,1.02
376,praia da vitoria,20,PT,1573225467,68,38.73,-27.07,20.0,2.77
377,aberystwyth,0,GB,1573225467,77,52.41,-4.08,7.78,2.24
378,cherskiy,27,RU,1573225467,71,68.75,161.3,-10.82,2.11
379,vanavara,100,RU,1573225467,96,60.35,102.28,-1.6,5.02
380,manggar,0,ID,1573225468,64,-2.88,108.27,29.26,1.77
381,mantua,75,IT,1573225468,87,45.16,10.79,13.33,1.5
382,along,91,IN,1573225468,78,28.17,94.8,18.15,1.48
383,houlton,90,US,1573225468,79,46.13,-67.84,-3.0,5.7
